date,Close,Net,chg,Open,Low,High,Volume
44609.00,13716.72,-407.38,-0.03,14004.19,13704.70,14020.82,922818268.00
44608.00,14124.10,-15.66,0.00,14038.92,13931.99,14163.73,838988496.00
44607.00,14139.76,348.84,0.03,13997.18,13976.29,14142.49,903092462.00
44606.00,13790.92,-0.24,0.00,13768.97,13664.76,13921.71,936804784.00
44603.00,13791.15,-394.49,-0.03,14213.62,13733.16,14246.70,1076255641.00
44602.00,14185.64,-304.73,-0.02,14228.68,14118.20,14509.56,1062064989.00
44601.00,14490.37,295.92,0.02,14368.16,14330.87,14490.72,935010071.00
44600.00,14194.46,178.79,0.01,13984.43,13934.78,14226.48,865495489.00
44599.00,14015.67,-82.34,-0.01,14118.79,13974.10,14236.31,858015597.00
44596.00,14098.01,219.19,0.02,13958.48,13850.39,14222.76,862969729.00
44595.00,13878.82,-538.73,-0.04,14045.83,13851.75,14207.89,945508395.00
44594.00,14417.55,71.54,0.00,14494.47,14264.65,14504.82,1000144411.00
44593.00,14346.00,106.12,0.01,14277.43,14070.77,14358.69,961997361.00
44592.00,14239.88,469.31,0.03,13812.19,13767.71,14242.90,1237942289.00
44589.00,13770.57,417.79,0.03,13436.71,13236.56,13771.91,1060758468.00
44588.00,13352.78,-189.34,-0.01,13710.99,13322.66,13765.91,1065570408.00
44587.00,13542.12,2.82,0.00,13871.77,13392.19,14002.65,1182260413.00
44586.00,13539.30,-315.83,-0.02,13610.87,13414.14,13781.62,1040733562.00
44585.00,13855.13,86.21,0.01,13481.50,13094.65,13876.61,1545681131.00
44582.00,13768.92,-385.10,-0.03,14046.22,13764.24,14171.72,1323729975.00
44581.00,14154.02,-186.23,-0.01,14462.85,14140.78,14642.03,1018126917.00
44580.00,14340.26,-166.64,-0.01,14582.22,14331.65,14658.89,935063398.00
44579.00,14506.90,-386.86,-0.03,14681.83,14482.94,14740.54,1063940929.00
44575.00,14893.75,86.94,0.01,14708.02,14689.43,14897.68,872562967.00
44574.00,14806.81,-381.58,-0.03,15245.04,14782.24,15259.71,852152306.00
44573.00,15188.39,34.94,0.00,15263.10,15117.29,15319.03,840024312.00
44572.00,15153.45,210.62,0.01,14919.26,14837.64,15158.71,863020644.00
44571.00,14942.83,6.93,0.00,14751.78,14530.23,14953.86,1090713513.00
44568.00,14935.90,-144.96,-0.01,15095.72,14877.63,15171.02,852529263.00
44567.00,15080.87,-19.31,0.00,15024.15,14914.87,15198.45,951121676.00
44566.00,15100.17,-522.54,-0.03,15547.16,15095.18,15586.30,1014064904.00
44565.00,15622.72,-210.08,-0.01,15852.14,15512.41,15852.14,970695344.00
44564.00,15832.80,187.83,0.01,15732.50,15644.09,15832.80,871645822.00
44561.00,15644.97,-96.59,-0.01,15722.91,15643.94,15777.43,729413739.00
44560.00,15741.56,-24.65,0.00,15758.98,15729.16,15868.09,768182451.00
44559.00,15766.22,-15.51,0.00,15794.92,15679.85,15821.81,699592670.00
44558.00,15781.72,-89.54,-0.01,15895.20,15757.07,15901.47,691465674.00
44557.00,15871.26,217.89,0.01,15696.83,15696.83,15871.40,741101722.00
44553.00,15653.37,131.48,0.01,15544.79,15528.91,15697.98,746131937.00
44552.00,15521.89,180.81,0.01,15319.16,15303.06,15525.97,783465428.00
44551.00,15341.09,360.14,0.02,15140.43,15015.03,15349.06,976825518.00
44550.00,14980.94,-188.74,-0.01,14933.00,14860.04,15007.30,1021188330.00
44547.00,15169.68,-10.75,0.00,15036.77,14960.37,15288.78,3006524889.00
44546.00,15180.44,-385.15,-0.02,15629.08,15119.49,15633.19,1103186529.00
44545.00,15565.58,327.94,0.02,15230.71,15055.23,15575.76,1174300261.00
44544.00,15237.64,-175.64,-0.01,15215.96,15097.35,15317.55,1029701430.00
44543.00,15413.28,-217.32,-0.01,15621.27,15408.25,15637.06,996247750.00
44540.00,15630.60,113.23,0.01,15629.59,15477.85,15677.60,875078676.00
44539.00,15517.37,-269.62,-0.02,15720.54,15511.12,15796.05,869498403.00
44538.00,15786.99,100.07,0.01,15690.65,15618.88,15792.64,921934057.00
44537.00,15686.92,461.76,0.03,15510.91,15507.66,15720.09,1056880309.00
44536.00,15225.15,139.68,0.01,15117.63,14931.61,15281.99,1074398594.00
44533.00,15085.47,-295.85,-0.02,15428.71,14931.06,15470.36,1202856196.00
44532.00,15381.32,127.27,0.01,15181.82,15150.12,15444.54,1104337415.00
44531.00,15254.05,-283.64,-0.02,15752.27,15243.93,15816.82,1221670926.00
44530.00,15537.69,-245.14,-0.02,15716.50,15451.39,15828.20,1775152934.00
44529.00,15782.83,291.18,0.02,15719.42,15644.62,15833.11,1011738984.00
44526.00,15491.66,-353.57,-0.02,15664.38,15456.09,15731.54,781488571.00
44524.00,15845.23,70.09,0.00,15677.88,15591.36,15848.56,842327136.00
44523.00,15775.14,-79.62,-0.01,15809.50,15601.46,15895.86,1067209308.00
44522.00,15854.76,-202.68,-0.01,16120.92,15851.04,16212.23,1126325876.00
44519.00,16057.44,63.73,0.00,16042.16,16017.23,16121.12,1020182577.00
44518.00,15993.71,72.14,0.00,15973.40,15848.83,16010.88,1080192136.00
